Player: 林海峰, Date: 1983-04-09, Rating: 3327, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 林海峰, Date: 1983-04-07, Rating: 3327, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 林海峰, Date: 1983-03-24, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 林海峰, Date: 1983-03-17, Rating: 3326, Black and White: 执白, Result: 胜, Opponent: 后藤俊午
Player: 林海峰, Date: 1983-03-03, Rating: 3324, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 林海峰, Date: 1983-02-24, Rating: 3324, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 林海峰, Date: 1983-02-10, Rating: 3323, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 林海峰, Date: 1983-02-03, Rating: 3322, Black and White: 执黑, Result: 胜, Opponent: 石井邦生
Player: 林海峰, Date: 1983-01-27, Rating: 3321, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 武宫正树, Date: 1983-12-22, Rating: 3319, Black and White: 执黑, Result: 胜, Opponent: 岩田达明
Player: 武宫正树, Date: 1983-11-10, Rating: 3316, Black and White: 执黑, Result: 胜, Opponent: 高木祥一
Player: 武宫正树, Date: 1983-10-27, Rating: 3315, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1983-10-23, Rating: 3314, Black and White: 执黑, Result: 胜, Opponent: 石井新藏
Player: 武宫正树, Date: 1983-10-06, Rating: 3312, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1983-05-21, Rating: 3300, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 武宫正树, Date: 1983-04-07, Rating: 3296, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 武宫正树, Date: 1983-03-13, Rating: 3295, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 武宫正树, Date: 1983-03-10, Rating: 3295, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 武宫正树, Date: 1983-02-17, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 武宫正树, Date: 1983-02-12, Rating: 3294, Black and White: 执黑, Result: 负, Opponent: 酒井猛
Player: 武宫正树, Date: 1983-02-10, Rating: 3294, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 武宫正树, Date: 1983-02-06, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 武宫正树, Date: 1983-01-30, Rating: 3294, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 武宫正树, Date: 1983-01-20, Rating: 3293, Black and White: 执白, Result: 负, Opponent: 岩田达明
Player: 淡路修三, Date: 1983-12-15, Rating: 3269, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 淡路修三, Date: 1983-12-12, Rating: 3270, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 淡路修三, Date: 1983-11-28, Rating: 3271, Black and White: 执黑, Result: 负, Opponent: 片冈聪
Player: 淡路修三, Date: 1983-11-16, Rating: 3272, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 淡路修三, Date: 1983-11-10, Rating: 3273, Black and White: 执黑, Result: 负, Opponent: 山城宏
Player: 淡路修三, Date: 1983-11-07, Rating: 3273, Black and White: 执黑, Result: 负, Opponent: 片冈聪
Player: 淡路修三, Date: 1983-10-27, Rating: 3275, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 淡路修三, Date: 1983-10-24, Rating: 3275, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 淡路修三, Date: 1983-10-20, Rating: 3276, Black and White: 执黑, Result: 胜, Opponent: 彦坂直人
Player: 淡路修三, Date: 1983-10-06, Rating: 3278, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 淡路修三, Date: 1983-09-22, Rating: 3279, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 淡路修三, Date: 1983-09-15, Rating: 3280, Black and White: 执黑, Result: 胜, Opponent: 苑田勇一
Player: 淡路修三, Date: 1983-08-31, Rating: 3281, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 淡路修三, Date: 1983-08-25, Rating: 3282, Black and White: 执黑, Result: 胜, Opponent: 清成哲也
Player: 淡路修三, Date: 1983-08-17, Rating: 3283, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
