Player: 林海峰, Date: 1990-07-16, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 林海峰, Date: 1990-07-07, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1990-06-26, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 林海峰, Date: 1990-06-24, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 林海峰, Date: 1990-06-23, Rating: 3357, Black and White: 执黑, Result: 负, Opponent: 刘小光
Player: 林海峰, Date: 1990-06-23, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 大渊盛人
Player: 林海峰, Date: 1990-06-14, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 林海峰, Date: 1990-06-07, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1990-06-02, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 林海峰, Date: 1990-05-24, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 林海峰, Date: 1990-05-10, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 小松英树
