Player: 李昌镐, Date: 2007-12-03, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2007-11-12, Rating: 3510, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2007-11-12, Rating: 3510, Black and White: 执黑, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2007-11-11, Rating: 3510, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2007-11-01, Rating: 3508, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 李昌镐, Date: 2007-10-22, Rating: 3507, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2007-10-21, Rating: 3507, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2007-10-10, Rating: 3506, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2007-10-08, Rating: 3505, Black and White: 执黑, Result: 胜, Opponent: 李相勋(大)
Player: 李昌镐, Date: 2007-10-05, Rating: 3505, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2007-09-29, Rating: 3504, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2007-09-22, Rating: 3503, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李昌镐, Date: 2007-09-20, Rating: 3503, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 李昌镐, Date: 2007-09-12, Rating: 3502, Black and White: 执黑, Result: 负, Opponent: 洪性志
Player: 李昌镐, Date: 2007-09-10, Rating: 3502, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 李昌镐, Date: 2007-09-06, Rating: 3502, Black and White: 执黑, Result: 负, Opponent: 韩尚勋
Player: 李昌镐, Date: 2007-09-04, Rating: 3501, Black and White: 执白, Result: 胜, Opponent: 黄翊祖
Player: 李昌镐, Date: 2007-08-30, Rating: 3501, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2007-08-28, Rating: 3501, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 李昌镐, Date: 2007-08-26, Rating: 3501, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 李昌镐, Date: 2007-08-23, Rating: 3500, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 2007-08-21, Rating: 3500, Black and White: 执白, Result: 负, Opponent: 温昭珍
Player: 李昌镐, Date: 2007-08-17, Rating: 3499, Black and White: 执白, Result: 胜, Opponent: 朴正祥
Player: 李昌镐, Date: 2007-08-15, Rating: 3499, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2007-08-13, Rating: 3499, Black and White: 执黑, Result: 胜, Opponent: 高尾绅路
Player: 李昌镐, Date: 2007-08-12, Rating: 3499, Black and White: 执黑, Result: 胜, Opponent: 张栩
Player: 李昌镐, Date: 2007-08-06, Rating: 3498, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2007-08-02, Rating: 3497, Black and White: 执黑, Result: 负, Opponent: 陈东奎
Player: 李昌镐, Date: 2007-07-31, Rating: 3497, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2007-07-24, Rating: 3496, Black and White: 执黑, Result: 负, Opponent: 徐健佑
