Player: 加藤正夫, Date: 1985-02-24, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 加藤正夫, Date: 1985-02-24, Rating: 3344, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1985-02-14, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 加藤正夫, Date: 1985-01-27, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 加藤正夫, Date: 1985-01-19, Rating: 3344, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1985-01-10, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 石田章
Player: 林海峰, Date: 1985-12-22, Rating: 3302, Black and White: 执白, Result: 负, Opponent: 高木祥一
Player: 林海峰, Date: 1985-12-19, Rating: 3302, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 林海峰, Date: 1985-12-12, Rating: 3302, Black and White: 执白, Result: 负, Opponent: 石田章
Player: 林海峰, Date: 1985-11-14, Rating: 3301, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1985-10-24, Rating: 3300, Black and White: 执白, Result: 负, Opponent: 山城宏
Player: 林海峰, Date: 1985-10-17, Rating: 3300, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 林海峰, Date: 1985-10-12, Rating: 3300, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 林海峰, Date: 1985-09-22, Rating: 3300, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 林海峰, Date: 1985-09-12, Rating: 3301, Black and White: 执白, Result: 负, Opponent: 黄孟正
Player: 林海峰, Date: 1985-09-05, Rating: 3301, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1985-08-15, Rating: 3302, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 林海峰, Date: 1985-08-08, Rating: 3302, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 林海峰, Date: 1985-08-01, Rating: 3303, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 林海峰, Date: 1985-07-25, Rating: 3303, Black and White: 执黑, Result: 负, Opponent: 羽根泰正
Player: 林海峰, Date: 1985-07-18, Rating: 3304, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 林海峰, Date: 1985-07-04, Rating: 3305, Black and White: 执白, Result: 胜, Opponent: 菅野清规
Player: 林海峰, Date: 1985-06-26, Rating: 3305, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 林海峰, Date: 1985-06-19, Rating: 3306, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 林海峰, Date: 1985-06-13, Rating: 3307, Black and White: 执黑, Result: 胜, Opponent: 白石裕
Player: 林海峰, Date: 1985-06-10, Rating: 3307, Black and White: 执黑, Result: 负, Opponent: 工藤纪夫
Player: 林海峰, Date: 1985-06-06, Rating: 3307, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 林海峰, Date: 1985-05-29, Rating: 3308, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 林海峰, Date: 1985-05-23, Rating: 3309, Black and White: 执白, Result: 胜, Opponent: 大平修三
