Player: 朴廷桓, Date: 2022-01-24, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 崔精
Player: 朴廷桓, Date: 2022-01-23, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2022-01-20, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2022-01-20, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2022-01-19, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 陈贤
Player: 朴廷桓, Date: 2022-01-17, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 朴廷桓, Date: 2022-01-16, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 金禹丞
Player: 朴廷桓, Date: 2022-01-09, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 安国铉
Player: 朴廷桓, Date: 2022-01-01, Rating: 3695, Black and White: 执白, Result: 胜, Opponent: 朴键昊
Player: 丁浩, Date: 2022-11-23, Rating: 3649, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 丁浩, Date: 2022-11-22, Rating: 3649, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 丁浩, Date: 2022-11-15, Rating: 3649, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 丁浩, Date: 2022-11-14, Rating: 3649, Black and White: 执白, Result: 胜, Opponent: 金明训
Player: 丁浩, Date: 2022-09-28, Rating: 3646, Black and White: 执白, Result: 负, Opponent: 时越
Player: 丁浩, Date: 2022-09-26, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 彭立尧
Player: 丁浩, Date: 2022-09-18, Rating: 3645, Black and White: 执黑, Result: 负, Opponent: 杨楷文
Player: 丁浩, Date: 2022-09-13, Rating: 3645, Black and White: 执白, Result: 负, Opponent: 时越
Player: 丁浩, Date: 2022-09-11, Rating: 3645, Black and White: 执黑, Result: 负, Opponent: 许嘉阳
Player: 丁浩, Date: 2022-09-09, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 毛睿龙
Player: 丁浩, Date: 2022-08-30, Rating: 3645, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 丁浩, Date: 2022-08-25, Rating: 3645, Black and White: 执白, Result: 胜, Opponent: 王泽宇
Player: 丁浩, Date: 2022-08-13, Rating: 3645, Black and White: 执黑, Result: 负, Opponent: 卞相壹
Player: 丁浩, Date: 2022-08-11, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 丁浩, Date: 2022-08-10, Rating: 3645, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 丁浩, Date: 2022-08-09, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 丁浩, Date: 2022-08-08, Rating: 3645, Black and White: 执白, Result: 胜, Opponent: 曹潇阳
Player: 丁浩, Date: 2022-08-06, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 丁浩, Date: 2022-08-05, Rating: 3645, Black and White: 执白, Result: 负, Opponent: 李维清
Player: 丁浩, Date: 2022-08-04, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 丁浩, Date: 2022-08-03, Rating: 3645, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 丁浩, Date: 2022-07-12, Rating: 3645, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 丁浩, Date: 2022-05-31, Rating: 3647, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 丁浩, Date: 2022-05-25, Rating: 3647, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 丁浩, Date: 2022-04-23, Rating: 3648, Black and White: 执黑, Result: 负, Opponent: 李轩豪
Player: 丁浩, Date: 2022-04-16, Rating: 3648, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 丁浩, Date: 2022-04-15, Rating: 3648, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
